일자,종가,대비,등락률,EPS,PER,선행 EPS,선행 PER,BPS,PBR,주당배당금,배당수익률
"2022/10/20","90200","-2700","-2.91","13989","6.45","6063","14.88","90394","1.00","1540","1.71"
"2022/10/19","92900","-2900","-3.03","13989","6.64","6063","15.32","90394","1.03","1540","1.66"
"2022/10/18","95800","600","0.63","13989","6.85","6063","15.80","90394","1.06","1540","1.61"
"2022/10/17","95200","-300","-0.31","13989","6.81","6063","15.70","90394","1.05","1540","1.62"
"2022/10/14","95500","600","0.63","13989","6.83","6362","15.01","90394","1.06","1540","1.61"
"2022/10/13","94900","900","0.96","13989","6.78","6535","14.52","90394","1.05","1540","1.62"
"2022/10/12","94000","3800","4.21","13989","6.72","6535","14.39","90394","1.04","1540","1.64"
"2022/10/11","90200","-1000","-1.10","13989","6.45","6535","13.80","90394","1.00","1540","1.71"
"2022/10/07","91200","1300","1.45","13989","6.52","6535","13.96","90394","1.01","1540","1.69"
"2022/10/06","89900","100","0.11","13989","6.43","6518","13.79","90394","0.99","1540","1.71"
"2022/10/05","89800","3600","4.18","13989","6.42","6518","13.78","90394","0.99","1540","1.71"
"2022/10/04","86200","3100","3.73","13989","6.16","6910","12.48","90394","0.95","1540","1.79"
"2022/09/30","83100","2300","2.85","13989","5.94","7543","11.02","90394","0.92","1540","1.85"
"2022/09/29","80800","-400","-0.49","13989","5.78","7952","10.16","90394","0.89","1540","1.91"
"2022/09/28","81200","-800","-0.98","13989","5.80","8610","9.43","90394","0.90","1540","1.90"
"2022/09/27","82000","-500","-0.61","13989","5.86","8960","9.15","90394","0.91","1540","1.88"
"2022/09/26","82500","-1000","-1.20","13989","5.90","9175","8.99","90394","0.91","1540","1.87"
"2022/09/23","83500","-2500","-2.91","13989","5.97","9433","8.85","90394","0.92","1540","1.84"
"2022/09/22","86000","-2000","-2.27","13989","6.15","9433","9.12","90394","0.95","1540","1.79"
"2022/09/21","88000","0","0.00","13989","6.29","9707","9.07","90394","0.97","1540","1.75"
"2022/09/20","88000","-2000","-2.22","13989","6.29","9961","8.83","90394","0.97","1540","1.75"
"2022/09/19","90000","-1200","-1.32","13989","6.43","9961","9.03","90394","1.00","1540","1.71"
"2022/09/16","91200","-800","-0.87","13989","6.52","10291","8.86","90394","1.01","1540","1.69"
"2022/09/15","92000","-1000","-1.08","13989","6.58","10462","8.79","90394","1.02","1540","1.67"
"2022/09/14","93000","-1800","-1.90","13989","6.65","10670","8.72","90394","1.03","1540","1.66"
"2022/09/13","94800","4400","4.87","13989","6.78","10954","8.65","90394","1.05","1540","1.62"
"2022/09/08","90400","0","0.00","13989","6.46","10954","8.25","90394","1.00","1540","1.70"
"2022/09/07","90400","-1400","-1.53","13989","6.46","11129","8.12","90394","1.00","1540","1.70"
"2022/09/06","91800","700","0.77","13989","6.56","11129","8.25","90394","1.02","1540","1.68"
"2022/09/05","91100","-600","-0.65","13989","6.51","11129","8.19","90394","1.01","1540","1.69"
"2022/09/02","91700","-700","-0.76","13989","6.56","11129","8.24","90394","1.01","1540","1.68"
"2022/09/01","92400","-2800","-2.94","13989","6.61","11416","8.09","90394","1.02","1540","1.67"
"2022/08/31","95200","2000","2.15","13989","6.81","11611","8.20","90394","1.05","1540","1.62"
"2022/08/30","93200","700","0.76","13989","6.66","11611","8.03","90394","1.03","1540","1.65"
"2022/08/29","92500","-2600","-2.73","13989","6.61","11611","7.97","90394","1.02","1540","1.66"
"2022/08/26","95100","1000","1.06","13989","6.80","11611","8.19","90394","1.05","1540","1.62"
"2022/08/25","94100","900","0.97","13989","6.73","11611","8.10","90394","1.04","1540","1.64"
"2022/08/24","93200","-400","-0.43","13989","6.66","11611","8.03","90394","1.03","1540","1.65"
"2022/08/23","93600","-1600","-1.68","13989","6.69","11611","8.06","90394","1.04","1540","1.65"
"2022/08/22","95200","-1200","-1.24","13989","6.81","11611","8.20","90394","1.05","1540","1.62"
"2022/08/19","96400","700","0.73","13989","6.89","11611","8.30","90394","1.07","1540","1.60"
"2022/08/18","95700","-1400","-1.44","13989","6.84","11611","8.24","90394","1.06","1540","1.61"
"2022/08/17","97100","400","0.41","13989","6.94","11611","8.36","90394","1.07","1540","1.59"
"2022/08/16","96700","3400","3.64","13989","6.91","11611","8.33","90394","1.07","1540","1.59"
"2022/08/12","93300","0","0.00","13989","6.67","11611","8.04","90394","1.03","1540","1.65"
"2022/08/11","93300","1500","1.63","13989","6.67","11611","8.04","90394","1.03","1540","1.65"
"2022/08/10","91800","-3300","-3.47","13989","6.56","11611","7.91","90394","1.02","1540","1.68"
"2022/08/09","95100","-1200","-1.25","13989","6.80","11611","8.19","90394","1.05","1540","1.62"
"2022/08/08","96300","-2200","-2.23","13989","6.88","11782","8.17","90394","1.07","1540","1.60"
"2022/08/05","98500","1000","1.03","13989","7.04","11782","8.36","90394","1.09","1540","1.56"
"2022/08/04","97500","0","0.00","13989","6.97","11782","8.28","90394","1.08","1540","1.58"
"2022/08/03","97500","1000","1.04","13989","6.97","11782","8.28","90394","1.08","1540","1.58"
"2022/08/02","96500","-600","-0.62","13989","6.90","11782","8.19","90394","1.07","1540","1.60"
"2022/08/01","97100","-800","-0.82","13989","6.94","11901","8.16","90394","1.07","1540","1.59"
"2022/07/29","97900","-1500","-1.51","13989","7.00","11901","8.23","90394","1.08","1540","1.57"
"2022/07/28","99400","-600","-0.60","13989","7.11","15198","6.54","90394","1.10","1540","1.55"
"2022/07/27","100000","-500","-0.50","13989","7.15","15198","6.58","90394","1.11","1540","1.54"
"2022/07/26","100500","500","0.50","13989","7.18","15198","6.61","90394","1.11","1540","1.53"
"2022/07/25","100000","0","0.00","13989","7.15","15198","6.58","90394","1.11","1540","1.54"
"2022/07/22","100000","-2500","-2.44","13989","7.15","15198","6.58","90394","1.11","1540","1.54"
"2022/07/21","102500","500","0.49","13989","7.33","15198","6.74","90394","1.13","1540","1.50"
"2022/07/20","102000","2000","2.00","13989","7.29","15198","6.71","90394","1.13","1540","1.51"
"2022/07/19","100000","-1000","-0.99","13989","7.15","15198","6.58","90394","1.11","1540","1.54"
"2022/07/18","101000","2300","2.33","13989","7.22","15198","6.65","90394","1.12","1540","1.52"
"2022/07/15","98700","4700","5.00","13989","7.06","15198","6.49","90394","1.09","1540","1.56"
"2022/07/14","94000","0","0.00","13989","6.72","15198","6.18","90394","1.04","1540","1.64"
"2022/07/13","94000","700","0.75","13989","6.72","15285","6.15","90394","1.04","1540","1.64"
"2022/07/12","93300","-400","-0.43","13989","6.67","15331","6.09","90394","1.03","1540","1.65"
"2022/07/11","93700","-1100","-1.16","13989","6.70","15331","6.11","90394","1.04","1540","1.64"
"2022/07/08","94800","900","0.96","13989","6.78","15331","6.18","90394","1.05","1540","1.62"
"2022/07/07","93900","1800","1.95","13989","6.71","15331","6.12","90394","1.04","1540","1.64"
"2022/07/06","92100","-400","-0.43","13989","6.58","15551","5.92","90394","1.02","1540","1.67"
"2022/07/05","92500","3400","3.82","13989","6.61","15998","5.78","90394","1.02","1540","1.66"
"2022/07/04","89100","1600","1.83","13989","6.37","16482","5.41","90394","0.99","1540","1.73"
"2022/07/01","87500","-3500","-3.85","13989","6.25","16392","5.34","90394","0.97","1540","1.76"
"2022/06/30","91000","-3000","-3.19","13989","6.51","16757","5.43","90394","1.01","1540","1.69"
"2022/06/29","94000","-1300","-1.36","13989","6.72","16757","5.61","90394","1.04","1540","1.64"
"2022/06/28","95300","300","0.32","13989","6.81","16977","5.61","90394","1.05","1540","1.62"
"2022/06/27","95000","3400","3.71","13989","6.79","17219","5.52","90394","1.05","1540","1.62"
"2022/06/24","91600","1400","1.55","13989","6.55","17274","5.30","90394","1.01","1540","1.68"
"2022/06/23","90200","-2000","-2.17","13989","6.45","17396","5.19","90394","1.00","1540","1.71"
"2022/06/22","92200","-3000","-3.15","13989","6.59","17396","5.30","90394","1.02","1540","1.67"
"2022/06/21","95200","700","0.74","13989","6.81","17520","5.43","90394","1.05","1540","1.62"
"2022/06/20","94500","-1900","-1.97","13989","6.76","17520","5.39","90394","1.05","1540","1.63"
"2022/06/17","96400","-1000","-1.03","13989","6.89","17520","5.50","90394","1.07","1540","1.60"
"2022/06/16","97400","-500","-0.51","13989","6.96","17520","5.56","90394","1.08","1540","1.58"
"2022/06/15","97900","-1200","-1.21","13989","7.00","17521","5.59","90394","1.08","1540","1.57"
"2022/06/14","99100","100","0.10","13989","7.08","17679","5.61","90394","1.10","1540","1.55"
"2022/06/13","99000","-4500","-4.35","13989","7.08","17679","5.60","90394","1.10","1540","1.56"
"2022/06/10","103500","-2000","-1.90","13989","7.40","17679","5.85","90394","1.14","1540","1.49"
"2022/06/09","105500","-500","-0.47","13989","7.54","17679","5.97","90394","1.17","1540","1.46"
"2022/06/08","106000","2000","1.92","13989","7.58","17679","6.00","90394","1.17","1540","1.45"
"2022/06/07","104000","-3000","-2.80","13989","7.43","17765","5.85","90394","1.15","1540","1.48"
"2022/06/03","107000","0","0.00","13989","7.65","17765","6.02","90394","1.18","1540","1.44"
"2022/06/02","107000","-1000","-0.93","13989","7.65","17653","6.06","90394","1.18","1540","1.44"
"2022/05/31","108000","1000","0.93","13989","7.72","17722","6.09","90394","1.19","1540","1.43"
"2022/05/30","107000","1000","0.94","13989","7.65","17660","6.06","90394","1.18","1540","1.44"
"2022/05/27","106000","3000","2.91","13989","7.58","17660","6.00","90394","1.17","1540","1.45"
"2022/05/26","103000","-5000","-4.63","13989","7.36","17660","5.83","90394","1.14","1540","1.50"
"2022/05/25","108000","-500","-0.46","13989","7.72","17660","6.12","90394","1.19","1540","1.43"
"2022/05/24","108500","-4500","-3.98","13989","7.76","17660","6.14","90394","1.20","1540","1.42"
"2022/05/23","113000","500","0.44","13989","8.08","17660","6.40","90394","1.25","1540","1.36"
"2022/05/20","112500","1500","1.35","13989","8.04","17660","6.37","90394","1.24","1540","1.37"
"2022/05/19","111000","-2500","-2.20","13989","7.93","17660","6.29","90394","1.23","1540","1.39"
"2022/05/18","113500","1000","0.89","13989","8.11","17645","6.43","90394","1.26","1540","1.36"
"2022/05/17","112500","2000","1.81","13989","8.04","17645","6.38","90394","1.24","1540","1.37"
"2022/05/16","110500","-2000","-1.78","13989","7.90","17645","6.26","90394","1.22","1540","1.39"
"2022/05/13","112500","3500","3.21","13989","8.04","17645","6.38","90394","1.24","1540","1.37"
"2022/05/12","109000","-1500","-1.36","13989","7.79","17645","6.18","90394","1.21","1540","1.41"
"2022/05/11","110500","500","0.45","13989","7.90","17645","6.26","90394","1.22","1540","1.39"
"2022/05/10","110000","2500","2.33","13989","7.86","17645","6.23","90394","1.22","1540","1.40"
"2022/05/09","107500","0","0.00","13989","7.68","17699","6.07","90394","1.19","1540","1.43"
"2022/05/06","107500","-2000","-1.83","13989","7.68","17699","6.07","90394","1.19","1540","1.43"
"2022/05/04","109500","-500","-0.45","13989","7.83","17699","6.19","90394","1.21","1540","1.41"
"2022/05/03","110000","-500","-0.45","13989","7.86","17805","6.18","90394","1.22","1540","1.40"
"2022/05/02","110500","-2000","-1.78","13989","7.90","17661","6.26","90394","1.22","1540","1.39"
"2022/04/29","112500","3000","2.74","6952","16.18","17661","6.37","71275","1.58","1170","1.04"
"2022/04/28","109500","1000","0.92","6952","15.75","17969","6.09","71275","1.54","1170","1.07"
"2022/04/27","108500","-2500","-2.25","6952","15.61","17969","6.04","71275","1.52","1170","1.08"
"2022/04/26","111000","3000","2.78","6952","15.97","17969","6.18","71275","1.56","1170","1.05"
"2022/04/25","108000","-2500","-2.26","6952","15.54","17928","6.02","71275","1.52","1170","1.08"
"2022/04/22","110500","-2500","-2.21","6952","15.89","17928","6.16","71275","1.55","1170","1.06"
"2022/04/21","113000","500","0.44","6952","16.25","17928","6.30","71275","1.59","1170","1.04"
"2022/04/20","112500","0","0.00","6952","16.18","17928","6.28","71275","1.58","1170","1.04"
"2022/04/19","112500","3500","3.21","6952","16.18","17928","6.28","71275","1.58","1170","1.04"
"2022/04/18","109000","1000","0.93","6952","15.68","17928","6.08","71275","1.53","1170","1.07"
"2022/04/15","108000","-2000","-1.82","6952","15.54","17928","6.02","71275","1.52","1170","1.08"
"2022/04/14","110000","-3000","-2.65","6952","15.82","17928","6.14","71275","1.54","1170","1.06"
"2022/04/13","113000","2000","1.80","6952","16.25","17942","6.30","71275","1.59","1170","1.04"
"2022/04/12","111000","-500","-0.45","6952","15.97","18103","6.13","71275","1.56","1170","1.05"
"2022/04/11","111500","-500","-0.45","6952","16.04","18103","6.16","71275","1.56","1170","1.05"
"2022/04/08","112000","-1500","-1.32","6952","16.11","18103","6.19","71275","1.57","1170","1.04"
"2022/04/07","113500","500","0.44","6952","16.33","18103","6.27","71275","1.59","1170","1.03"
"2022/04/06","113000","-3500","-3.00","6952","16.25","18103","6.24","71275","1.59","1170","1.04"
"2022/04/05","116500","-500","-0.43","6952","16.76","18103","6.44","71275","1.63","1170","1.00"
"2022/04/04","117000","1000","0.86","6952","16.83","18136","6.45","71275","1.64","1170","1.00"
"2022/04/01","116000","-2000","-1.69","6952","16.69","17859","6.50","71275","1.63","1170","1.01"
"2022/03/31","118000","-3000","-2.48","6952","16.97","17902","6.59","71275","1.66","1170","0.99"
"2022/03/30","121000","1000","0.83","6952","17.41","17902","6.76","71275","1.70","1170","0.97"
"2022/03/29","120000","2000","1.69","6952","17.26","17902","6.70","71275","1.68","1170","0.98"
"2022/03/28","118000","0","0.00","6952","16.97","17902","6.59","71275","1.66","1170","0.99"
"2022/03/25","118000","-2500","-2.07","6952","16.97","17902","6.59","71275","1.66","1170","0.99"
"2022/03/24","120500","-3000","-2.43","6952","17.33","17915","6.73","71275","1.69","1170","0.97"
"2022/03/23","123500","0","0.00","6952","17.76","17915","6.89","71275","1.73","1170","0.95"
"2022/03/22","123500","1500","1.23","6952","17.76","17896","6.90","71275","1.73","1170","0.95"
"2022/03/21","122000","-2000","-1.61","6952","17.55","17905","6.81","71275","1.71","1170","0.96"
"2022/03/18","124000","0","0.00","6952","17.84","17905","6.93","71275","1.74","1170","0.94"
"2022/03/17","124000","7500","6.44","6952","17.84","17786","6.97","71275","1.74","1170","0.94"
"2022/03/16","116500","4000","3.56","6952","16.76","17786","6.55","71275","1.63","1170","1.00"
