일자,종가,대비,등락률,EPS,PER,선행 EPS,선행 PER,BPS,PBR,주당배당금,배당수익률
2022.10.20,168500,0,0,110854,1.52,8171,20.62,157641,1.07,511,0.3
2022.10.19,168500,-4000,-2.32,110854,1.52,8279,20.35,157641,1.07,511,0.3
2022.10.18,172500,5500,3.29,110854,1.56,8414,20.5,157641,1.09,511,0.3
2022.10.17,167000,1500,0.91,110854,1.51,8434,19.8,157641,1.06,511,0.31
2022.10.14,165500,7000,4.42,110854,1.49,8434,19.62,157641,1.05,511,0.31
2022.10.13,158500,-3500,-2.16,110854,1.43,8661,18.3,157641,1.01,511,0.32
2022.10.12,162000,3500,2.21,110854,1.46,8656,18.72,157641,1.03,511,0.32
2022.10.11,158500,-1500,-0.94,110854,1.43,8705,18.21,157641,1.01,511,0.32
2022.10.7,160000,-7000,-4.19,110854,1.44,8705,18.38,157641,1.01,511,0.32
2022.10.6,167000,3000,1.83,110854,1.51,8705,19.18,157641,1.06,511,0.31
2022.10.5,164000,-12500,-7.08,110854,1.48,8928,18.37,157641,1.04,511,0.31
2022.10.4,176500,-17000,-8.79,110854,1.59,8736,20.2,157641,1.12,511,0.29
2022.9.30,193500,-3000,-1.53,110854,1.75,8736,22.15,157641,1.23,511,0.26
2022.9.29,196500,-4000,-2,110854,1.77,8736,22.49,157641,1.25,511,0.26
2022.9.28,200500,-4000,-1.96,110854,1.81,8736,22.95,157641,1.27,511,0.25
2022.9.27,204500,0,0,110854,1.84,8736,23.41,157641,1.3,511,0.25
2022.9.26,204500,-6000,-2.85,110854,1.84,8766,23.33,157641,1.3,511,0.25
2022.9.23,210500,4000,1.94,110854,1.9,8766,24.01,157641,1.34,511,0.24
2022.9.22,206500,-6500,-3.05,110854,1.86,8766,23.56,157641,1.31,511,0.25
2022.9.21,213000,-5000,-2.29,110854,1.92,8766,24.3,157641,1.35,511,0.24
2022.9.20,218000,0,0,110854,1.97,8766,24.87,157641,1.38,511,0.23
2022.9.19,218000,-2000,-0.91,110854,1.97,8766,24.87,157641,1.38,511,0.23
2022.9.16,220000,-5500,-2.44,110854,1.98,8766,25.1,157641,1.4,511,0.23
2022.9.15,225500,-4500,-1.96,110854,2.03,8809,25.6,157641,1.43,511,0.23
2022.9.14,230000,-8500,-3.56,110854,2.07,8809,26.11,157641,1.46,511,0.22
2022.9.13,238500,7000,3.02,110854,2.15,8809,27.07,157641,1.51,511,0.21
2022.9.8,231500,0,0,110854,2.09,8809,26.28,157641,1.47,511,0.22
2022.9.7,231500,-3500,-1.49,110854,2.09,8809,26.28,157641,1.47,511,0.22
2022.9.6,235000,-1000,-0.42,110854,2.12,8809,26.68,157641,1.49,511,0.22
2022.9.5,236000,2000,0.85,110854,2.13,8809,26.79,157641,1.5,511,0.22
2022.9.2,234000,-2000,-0.85,110854,2.11,8809,26.56,157641,1.48,511,0.22
2022.9.1,236000,-4000,-1.67,110854,2.13,8615,27.39,157641,1.5,511,0.22
2022.8.31,240000,2000,0.84,110854,2.17,8615,27.86,157641,1.52,511,0.21
2022.8.30,238000,4000,1.71,110854,2.15,8694,27.38,157641,1.51,511,0.21
2022.8.29,234000,-8000,-3.31,110854,2.11,8694,26.92,157641,1.48,511,0.22
2022.8.26,242000,-2500,-1.02,110854,2.18,8694,27.84,157641,1.54,511,0.21
2022.8.25,244500,3000,1.24,110854,2.21,8694,28.12,157641,1.55,511,0.21
2022.8.24,241500,500,0.21,110854,2.18,8694,27.78,157641,1.53,511,0.21
2022.8.23,241000,-4500,-1.83,110854,2.17,8694,27.72,157641,1.53,511,0.21
2022.8.22,245500,-2500,-1.01,110854,2.21,8694,28.24,157641,1.56,511,0.21
2022.8.19,248000,-2000,-0.8,110854,2.24,8694,28.53,157641,1.57,511,0.21
2022.8.18,250000,-8000,-3.1,110854,2.26,8694,28.76,157641,1.59,511,0.2
2022.8.17,258000,-1500,-0.58,110854,2.33,8728,29.56,157641,1.64,511,0.2
2022.8.16,259500,-6000,-2.26,110854,2.34,8728,29.73,157641,1.65,511,0.2
2022.8.12,265500,-2000,-0.75,110854,2.4,8728,30.42,157641,1.68,511,0.19
2022.8.11,267500,5500,2.1,110854,2.41,8728,30.65,157641,1.7,511,0.19
2022.8.10,262000,-3000,-1.13,110854,2.36,8728,30.02,157641,1.66,511,0.2
2022.8.9,265000,6500,2.51,110854,2.39,8728,30.36,157641,1.68,511,0.19
2022.8.8,258500,-8500,-3.18,110854,2.33,9489,27.24,157641,1.64,511,0.2
2022.8.5,267000,-6500,-2.38,110854,2.41,9489,28.14,157641,1.69,511,0.19
2022.8.4,273500,4500,1.67,110854,2.47,9489,28.82,157641,1.73,511,0.19
